controllerToClosetCandies,
,0.5231175
,0.5229677
,0.5229299
,0.523311
,0.5230831
,0.523126
,0.5238208
,0.5238488
,0.5235515
,0.5238428
,0.523736
,0.5237814
,0.5241644
,0.5242507
,0.524291
,0.5246703
,0.5242218
,0.5242684
,0.5246766
,0.5243974
,0.5244617
,0.5248426
,0.5248723
,0.5247337
,0.5251622
,0.524869
,0.5247849
,0.5249721
,0.5248886
,0.5244055
,0.524624
,0.5248429
,0.5247283
,0.5249143
,0.5251968
,0.5251206
,0.5253073
,0.5248201
,0.5247927
,0.5250478
,0.5246213
,0.5248794
,0.5248721
,0.5243104
,0.52432
,0.5246308
,0.5245624
,0.524703
,0.5251526
,0.5243039
,0.5245346
,0.5252451
,0.525578
,0.5259229
,0.5267456
,0.52652
,0.5269822
,0.5278379
,0.5278397
,0.5287178
,0.5291593
,0.5298088
,0.5305324
,0.5306082
,0.5310033
,0.5316958
,0.5325578
,0.5335681
,0.5345395
,0.5354174
,0.5362434
,0.5371057
,0.5382581
,0.5389737
,0.5401228
,0.540956
,0.5413538
,0.5427065
,0.5434914
,0.5440161
,0.5455016
,0.5461663
,0.5465313
,0.5478202
,0.548175
,0.5485461
,0.5491424
,0.5493006
,0.5491452
,0.5497454
,0.5496957
,0.5490155
,0.5495871
,0.5493282
,0.5489169
,0.5492959
,0.5489093
,0.548884
,0.5492563
,0.5488075
,0.5482225
,0.5481916
,0.547678
,0.5473385
,0.5470984
,0.5465353
,0.5461783
,0.5460883
,0.5455871
,0.5452353
,0.5451934
,0.5447471
,0.5443876
,0.5444634
,0.5441945
,0.5439447
,0.5441571
,0.5440649
,0.5439577
,0.544102
,0.5441958
,0.5442746
,0.5445511
,0.5447847
,0.5450668
,0.5457039
,0.546046
,0.5464328
,0.5471803
,0.5475709
,0.5480599
,0.5486621
,0.5491941
,0.5496765
,0.5506081
,0.5508133
,0.5513723
,0.5522636
,0.5525419
,0.5530971
,0.5536542
,0.5540227
,0.554417
,0.5551011
,0.5548592
,0.555082
,0.5552743
,0.5549011
,0.5548338
,0.5548081
,0.554247
,0.5539642
,0.5538624
,0.5530543
,0.5527002
,0.5524623
,0.5517099
,0.5511508
,0.5508149
,0.550217
,0.549534
,0.549096
,0.5479546
,0.5473208
,0.5468038
,0.5462132
,0.5455284
,0.5447909
,0.544093
,0.5434401
,0.5429428
,0.5423145
,0.5417197
,0.5410184
,0.5404512
,0.539915
,0.5394258
,0.5389796
,0.5386079
,0.5382779
,0.5378745
,0.5375782
,0.5372661
,0.5358068
,0.5356008
,0.5353586
,0.5351589
,0.5338086
,0.5336882
,0.533471
,0.5328575
,0.532755
,0.5326868
,0.5325516
,0.5325161
,0.5323805
,0.5320843
,0.5320963
,0.5320473
,0.531884
,0.5319194
,0.5317661
,0.5317032
,0.5316756
,0.5316362
,0.5315034
,0.531478
,0.5315769
,0.5314852
,0.5314422
,0.531428
,0.5313591
,0.531267
,0.5311902
,0.5310921
,0.5309216
,0.5309386
,0.5308143
,0.5306064
,0.5301682
,0.5300165
,0.529819
,0.5297679
,0.5296401
,0.5296658
,0.5297106
,0.5294964
,0.5293128
,0.5291774
,0.5292987
,0.5292615
,0.5296931
,0.5301706
,0.5311586
,0.5322049
,0.5333809
,0.5342393
,0.5353073
,0.5363904
,0.5375304
,0.5386703
,0.5395575
,0.5402526
,0.5407976
,0.5412096
,0.5417061
,0.5421773
,0.5430802
,0.5440409
,0.5453779
,0.5477697
,0.5518574
,0.5562568
,0.5634761
,0.5722179
,0.5829272
,0.593372
,0.6066962
,0.620425
,0.6340713
,0.651329
,0.6696236
,0.6898685
,0.7134494
,0.7369287
,0.760587
,0.7917414
,0.8352438
,0.861765
,0.8903707
,0.919718
,0.9489504
,0.9776467
,1.009292
,1.036844
,1.062451
,1.088886
,1.116059
,1.144122
,1.171194
,1.197278
,1.220994
,1.24545
,1.266672
,1.286672
,1.302652
,1.252792
,1.207797
,1.166274
,1.130301
,1.098308
,1.07141
,1.052792
,1.039611
,1.029835
,1.02377
,1.020634
,1.018507
,1.015425
,1.014129
,1.011003
,1.006422
,1.004688
,1.001552
,0.9983862
,0.9990758
,0.9980172
,1.004857
,1.015505
,1.031269
,1.046047
,1.068793
,1.098012
,1.130134
,1.16588
,1.207852
,1.251809
,1.29592
,1.346854
,1.400232
,1.448528
,1.443377
,1.434783
,1.424957
,1.415317
,1.40527
,1.399315
,1.395112
,1.402936
,1.415004
,1.422319
,1.437094
,1.445882
,1.452054
,1.456345
,1.458104
,1.459476
,1.455727
,1.455175
,1.453476
,1.447257
,1.442229
,1.436041
,1.428449
,1.424489
,1.42139
,1.421727
,1.423272
,1.424524
,1.429151
,1.433765
,1.438387
,1.441905
,1.444919
,1.447847
,1.449656
,1.450922
,1.452078
,1.450841
,1.449009
,1.446711
,1.442111
,1.437668
,1.433305
,1.425681
,1.419318
,1.412742
,1.406188
,1.400251
,1.395171
,1.395149
,1.396209
,1.400125
,1.40633
,1.413709
,1.417791
,1.424476
,1.428364
,1.431249
,1.433331
,1.43578
,1.437032
,1.436451
,1.43706
,1.436463
,1.433063
,1.431309
,1.429129
,1.425297
,1.422675
,1.420891
,1.419113
,1.416933
,1.417588
,1.417716
,1.419513
,1.421806
,1.424258
,1.426647
,1.428864
,1.431332
,1.433422
,1.43442
,1.434964
,1.435365
,1.435138
,1.43411
,1.433367
,1.431722
,1.431143
,1.430284
,1.428786
,1.428754
,1.428241
,1.428663
,1.428375
,1.428348
,1.428479
,1.428481
,1.428964
,1.428918
,1.428058
,1.42708
,1.425001
,1.422589
,1.419612
,1.415972
,1.411503
,1.406558
,1.401077
,1.394734
,1.388126
,1.380148
,1.373498
,1.368743
,1.364857
,1.36433
,1.366208
,1.369378
,1.371344
,1.377222
,1.381085
,1.384612
,1.390368
,1.393594
,1.396623
,1.400015
,1.404194
,1.40671
,1.409342
,1.411896
,1.414199
,1.41444
,1.409876
,1.403701
,1.400586
,1.395949
,1.389404
,1.381419
,1.373141
,1.363431
,1.354273
,1.346306
,1.345039
,1.341426
,1.344235
,1.348864
,1.356788
,1.361104
,1.369688
,1.376079
,1.381574
,1.386188
,1.38904
,1.391531
,1.392621
,1.392648
